stage,item,split,metric,value,note
dataset,expanded_dataset,all,validated_samples,138,experiment_rag_dataset_expanded.validated.jsonl
dataset,expanded_dataset,all,should_abstain_samples,17,from expanded validated dataset
dataset,expanded_split,build,total_samples,30,rag_build.jsonl
dataset,expanded_split,build,should_abstain_samples,3,rag_build.jsonl
dataset,expanded_split,dev,total_samples,35,rag_dev.jsonl
dataset,expanded_split,dev,should_abstain_samples,5,rag_dev.jsonl
dataset,expanded_split,test,total_samples,60,rag_test.jsonl
dataset,expanded_split,test,should_abstain_samples,8,rag_test.jsonl
dataset,expanded_split,reserve,total_samples,13,rag_reserve.jsonl
dataset,expanded_split,reserve,should_abstain_samples,1,rag_reserve.jsonl
evidence_base,experiment_chunks,all,chunk_count,4503,aiops-docs/experiment/chunks/experiment_chunks.jsonl
evidence_base,milvus_collection,all,collection,experiment_manuals_all,fixed retrieval collection
retrieval,dense_no_rerank,build,candidate_hit_at_50,0.740741,expanded retrieval comparison v2
retrieval,dense_no_rerank,build,candidate_recall_at_50,0.703704,expanded retrieval comparison v2
retrieval,dense_no_rerank,build,hit_at_10,0.407407,expanded retrieval comparison v2
retrieval,dense_no_rerank,build,mrr,0.288272,expanded retrieval comparison v2
retrieval,dense_no_rerank,dev,candidate_hit_at_50,0.700000,expanded retrieval comparison v2
retrieval,dense_no_rerank,dev,candidate_recall_at_50,0.700000,expanded retrieval comparison v2
retrieval,dense_no_rerank,dev,hit_at_10,0.433333,expanded retrieval comparison v2
retrieval,dense_no_rerank,dev,mrr,0.153651,expanded retrieval comparison v2
retrieval,dense_no_rerank,test,candidate_hit_at_50,0.750000,expanded retrieval comparison v2
retrieval,dense_no_rerank,test,candidate_recall_at_50,0.730769,expanded retrieval comparison v2
retrieval,dense_no_rerank,test,hit_at_10,0.442308,expanded retrieval comparison v2
retrieval,dense_no_rerank,test,mrr,0.302564,expanded retrieval comparison v2
retrieval,dense_current_rerank,build,candidate_hit_at_50,0.740741,current_rerank = online rerank + local fallback
retrieval,dense_current_rerank,build,candidate_recall_at_50,0.703704,current_rerank = online rerank + local fallback
retrieval,dense_current_rerank,build,hit_at_10,0.666667,current_rerank = online rerank + local fallback
retrieval,dense_current_rerank,build,mrr,0.545062,current_rerank = online rerank + local fallback
retrieval,dense_current_rerank,dev,candidate_hit_at_50,0.700000,current_rerank = online rerank + local fallback
