section,metric,value,notes
dataset,source_count,5,source_manifest.total_sources
dataset,total_chunks,4503,chunk_build_report.total_chunks
dataset,chunks_by_source,504,abb_manual_for_induction_motors_and_generators_en
dataset,chunks_by_source,265,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions
dataset,chunks_by_source,124,haascnc_com_rotary_troubleshooting_guide_ngc
dataset,chunks_by_source,971,rockwell_powerflex_520_series_user_manual_520_um001_en_e
dataset,chunks_by_source,2639,s71200_system_manual
dataset,chunks_by_chunk_type,287,alarm_fault_code
dataset,chunks_by_chunk_type,37,concept_and_component
dataset,chunks_by_chunk_type,468,front_matter
dataset,chunks_by_chunk_type,313,installation_or_wiring
dataset,chunks_by_chunk_type,52,maintenance_procedure
dataset,chunks_by_chunk_type,669,other
dataset,chunks_by_chunk_type,1746,parameter_and_configuration
dataset,chunks_by_chunk_type,566,safety_and_constraint
dataset,chunks_by_chunk_type,365,troubleshooting_procedure
annotation_pool,annotation_pool_total,728,annotation_pool_report.candidate_chunks
annotation_pool,annotation_priority_distribution,491,high
annotation_pool,annotation_priority_distribution,19,low
annotation_pool,annotation_priority_distribution,218,medium
candidate_questions,candidate_questions_total,80,rag_candidate_questions.jsonl
review,reviewed_total,80,candidate_review_import_report
review,revised_total,64,candidate_review_import_report
review,rejected_total,16,candidate_review_import_report
rag_dataset,final_rag_samples,64,validated dataset lines
rag_dataset,valid_samples,64,rag_validation_report.valid_samples
rag_dataset,invalid_samples,0,rag_validation_report.invalid_samples
split,split_build,30,rag_split_report.count_by_split.build
split,split_dev,20,rag_split_report.count_by_split.dev
split,split_test,0,rag_split_report.count_by_split.test
split,split_reserve,14,rag_split_report.count_by_split.reserve
