experiment_name,split,retrieval_strategy,rerank,evaluated_samples,skipped_abstain,candidate_top_k,final_top_k,candidate_hit_at_10,candidate_hit_at_20,candidate_hit_at_50,candidate_recall_at_50,hit_at_1,hit_at_3,hit_at_5,hit_at_10,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,gold_in_candidate_not_final_count,gold_promoted_by_rerank_count,gold_demoted_by_rerank_count,rerank_provider_local_samples,rerank_provider_cohere_samples,rerank_provider_local_results,rerank_provider_cohere_results,rerank_fallback_sample_count,rerank_fallback_result_count,delta_hit_at_1,delta_hit_at_3,delta_hit_at_5,delta_hit_at_10,delta_mrr
dense_no_rerank_expanded_build,build,dense,none,27,3,50,10,0.407407,0.592593,0.740741,0.703704,0.222222,0.333333,0.407407,0.407407,0.222222,0.333333,0.407407,0.407407,0.288272,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
dense_current_rerank_expanded_build,build,dense,current,27,3,50,10,0.407407,0.592593,0.740741,0.703704,0.518519,0.518519,0.592593,0.666667,0.518519,0.518519,0.592593,0.648148,0.545062,2,11,1,17,10,170,100,17,170,0.296297,0.185186,0.185186,0.25926,0.25679
hybrid_no_rerank_expanded_build,build,hybrid,none,27,3,50,10,0.666667,0.703704,0.703704,0.685185,0.296296,0.481481,0.555556,0.666667,0.277778,0.462963,0.537037,0.648148,0.399691,1,0,0,0,0,0,0,0,0,0.074074,0.148148,0.148149,0.25926,0.111419
hybrid_current_rerank_expanded_build,build,hybrid,current,27,3,50,10,0.666667,0.703704,0.703704,0.685185,0.444444,0.518519,0.62963,0.666667,0.425926,0.5,0.611111,0.648148,0.501235,1,7,2,24,3,240,30,24,240,0.222222,0.185186,0.222223,0.25926,0.212963
dense_no_rerank_expanded_dev,dev,dense,none,30,5,50,10,0.433333,0.5,0.7,0.7,0.066667,0.2,0.266667,0.433333,0.066667,0.183333,0.25,0.416667,0.153651,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
dense_current_rerank_expanded_dev,dev,dense,current,30,5,50,10,0.433333,0.5,0.7,0.7,0.1,0.266667,0.433333,0.466667,0.1,0.25,0.4,0.433333,0.208889,7,16,2,29,1,290,10,29,290,0.033333,0.066667,0.166666,0.033334,0.055238
hybrid_no_rerank_expanded_dev,dev,hybrid,none,30,5,50,10,0.6,0.8,0.8,0.8,0.033333,0.333333,0.466667,0.6,0.033333,0.333333,0.45,0.6,0.216111,6,0,0,0,0,0,0,0,0,-0.033334,0.133333,0.2,0.166667,0.06246
hybrid_current_rerank_expanded_dev,dev,hybrid,current,30,5,50,10,0.6,0.8,0.8,0.8,0.233333,0.433333,0.466667,0.633333,0.233333,0.416667,0.45,0.616667,0.344854,5,11,5,26,4,260,40,26,260,0.166666,0.233333,0.2,0.2,0.191203
dense_no_rerank_expanded_test,test,dense,none,52,8,50,10,0.442308,0.634615,0.75,0.730769,0.230769,0.346154,0.403846,0.442308,0.230769,0.346154,0.394231,0.432692,0.302564,16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
dense_current_rerank_expanded_test,test,dense,current,52,8,50,10,0.442308,0.634615,0.75,0.730769,0.365385,0.480769,0.480769,0.596154,0.365385,0.471154,0.471154,0.576923,0.429884,8,21,7,43,9,430,90,43,430,0.134616,0.134615,0.076923,0.153846,0.12732
hybrid_no_rerank_expanded_test,test,hybrid,none,52,8,50,10,0.634615,0.653846,0.653846,0.634615,0.288462,0.442308,0.596154,0.634615,0.278846,0.432692,0.576923,0.615385,0.395406,1,0,0,0,0,0,0,0,0,0.057693,0.096154,0.192308,0.192307,0.092842
hybrid_current_rerank_expanded_test,test,hybrid,current,52,8,50,10,0.634615,0.653846,0.653846,0.634615,0.269231,0.5,0.596154,0.634615,0.259615,0.490385,0.586538,0.615385,0.400824,1,9,7,46,6,460,60,46,460,0.038462,0.153846,0.192308,0.192307,0.09826
